ja,en
"""Ant-Contrib""という名称を使う場合。
ant-contrib-developers@lists.sourceforge.netに連絡する。","""When using the name ""Ant-Contrib"". ant-contrib-developers@lists.sourceforge.netに連絡する."
"""Apache Commons""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""Apache Commons"", when using the name ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""Apache Forrest""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""Apache Forrest"", when using the name ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""Apache JServ""、""Apache JServ Servlet Engine""、""Java Apache Project""という名称を使用する場合。","""Apache JServ"", ""Apache JServ Servlet Engine"", and ""Java Apache Project"" if you use the names ""Apache JServ"", ""Apache JServ Servlet Engine"", and ""Java Apache Project""."
"""Apache JServ""、""Apache""という名称を使用する場合。書面によるJava Apache Projectの許可を取る。","""Apache JServ"", ""Apache"" if you want to use the name ""Apache"". Get written permission for the Java Apache Project."
"""Apache Server""および""Apache Group""という名称を使用する場合。
apache@apache.orgに連絡する。","""Apache Server"" and ""Apache Group"", if you use the names ""Apache Server"" and ""Apache Group"". apache@apache.orgに連絡する."
"""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""Apache Software Foundation"", if you use the name ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""Apache""、""Apache Software Foundation""、""Apache Commons""という名称を使う場合。
apache@apache.orgに連絡する。","""Apache"", ""Apache Software Foundation"", and ""Apache Commons"" if you use the names ""Apache"", ""Apache Software Foundation"", and ""Apache Commons"". apache@apache.orgに連絡する."
"""Apache""、""Apache Software Foundation""、""Apache Turbine""という名称を使う場合。
apache@apache.orgに連絡する。","""Apache"", ""Apache Software Foundation"", and ""Apache Turbine"" if you use the names ""Apache"", ""Apache Software Foundation"", and ""Apache Turbine"". apache@apache.orgに連絡する."
"""Apache""、""Apache Software Foundation""、""Jakarta-Oro"" という名称を使う場合。
apache@apache.orgに連絡する。","""Apache"", ""Apache Software Foundation"" and ""Jakarta-Oro"". apache@apache.orgに連絡する."
"""Apache""、""Apache Software Foundation""および""Apache BCEL""という名称を使う場合。
apache@apache.orgに連絡する。","""Apache"", ""Apache Software Foundation"", and ""Apache BCEL"" if you use the names ""Apache"", ""Apache Software Foundation"", and ""Apache BCEL"". apache@apache.orgに連絡する."
"""Apache""、""Apache Turbine""という名称を使う場合。
Apache Software Foundationの許可を取る。","Get permission from the Apache Software Foundation to use the names ""Apache"" and ""Apache Turbine""."
"""Apache""、""Jakarta-Oro""という名称を使う場合。
Apache Software Foundationの許可を取る。","Get permission from the Apache Software Foundation to use the names ""Apache"" and ""Jakarta-Oro""."
"""Apache""、""The Jakarta Project""、""Commons""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""Apache"", ""The Jakarta Project"", ""Commons"" and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""Apache""および""Apache BCEL""という名称を使う場合。
Apache Software Foundationの許可を取る。","Get permission from the Apache Software Foundation to use the names ""Apache"" and ""Apache BCEL""."
"""Apache""および""Apache Software Foundation""という名称を使う場合。apache@apache.orgに連絡する。","To use the names ""Apache"" and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""Apache""という名称を使う場合。
Apache Groupの許可を取る。","If you are using the name ""Apache"", get the permission of the Apache Group."
"""Apache""という名称を使う場合。
Apache Software Foundationの許可を取る。","Get permission from the Apache Software Foundation to use the name ""Apache""."
"""Apache""という名称を使う場合。 
Apache Software Foundationの許可を取る。
","If you are using the name ""Apache"". Get permission from the Apache Software Foundation."
"""Apache""という名称を使う場合。apache@apache.orgに連絡する。 
","""If you use the name ""Apache"". apache@apache.orgに連絡する."
"""Apache""という名称を使用する場合。apache@apache.orgに連絡する。 
","""Apache"", if you want to use the name ""Apache"". apache@apache.orgに連絡する."
"""Apache-SSL Server""という名称を使う場合。","""If you use the name ""Apache-SSL Server""."
"""Apollo Computer Inc.""、""Hewlett-Packard Company""、""X Consortium""の名称を使う場合。","""Apollo Computer Inc."", ""Hewlett-Packard Company"", and ""X Consortium"" when using the name ""Apollo Computer Inc."
"""Automatrix""、""Bioreason""、""Mojam Media""の名称を使う場合。","""Automatrix"", ""Bioreason"" and ""Mojam Media"" names."
"""Avalon""および""Merlin""という名称を使う場合。
pmc@avalon.apache.orgに連絡する。","""Avalon"" and ""Merlin"" if you use the names ""Avalon"" and ""Merlin."" pmc@avalon.apache.orgに連絡する."
"""Axis""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""Axis"", if you use the name ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""BEA Systems"", ""IBM"", ""Microsoft"", ""SAP"", ""Sonic Software"", ""VeriSign""の名称を使う場合。","""BEA Systems"", ""IBM"", ""Microsoft"", ""SAP"", ""Sonic Software"" and ""VeriSign"" names."
"""BEA"", ""IBM"", ""Microsoft"", ""SAP AG"", ""Sun Microsystems""の名称を使う場合。","""BEA"", ""IBM"", ""Microsoft"", ""SAP AG"" and ""Sun Microsystems""."
"""BSF""、""Apache""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""BSF"", ""Apache"", and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""Brocade Communications Systems, Inc. (""Brocade"")""の名称を使う場合。
Brocadeの許可を取る。","""Brocade Communications Systems, Inc. (""Brocade"")"" if you use the name ""Brocade Communications Systems, Inc."". get permission from Brocade."
"""CMU""、""The Regents of the University of California""という名称を使う場合。","""CMU"" or ""The Regents of the University of California"" when using the name ""CMU"" or ""The Regents of the University of California""."
"""Cambridge Broadband Ltd.""の名称を使う場合。","""If you use the name ""Cambridge Broadband Ltd."
"""Caramel""、Indiana University、University of Notre Dameという名称を使う場合。
Indiana University Advanced Research & Technology Instituteの許可を取る。","""Caramel"", Indiana University, when using the name University of Notre Dame; Indiana University Advanced Research"
"""Carnegie Mellon University""という名称を使う場合。
Office of Technology Transfer  
Carnegie Mellon University  
5000 Forbes Avenue  
Pittsburgh, PA 15213-3890  
(412) 268-4387, fax: (412) 268-7395  
tech-transfer@andrew.cmu.edu  
に連絡する。
","""Carnegie Mellon University"" if you wish to use the name ""Carnegie Mellon University""; Office of Technology Transfer Carnegie Mellon University 5000 Forbes Avenue Pittsburgh, PA 15213-3890 (412 ) 268-4387, fax: (412) 268-7395 Contact tech-transfer@andrew.cmu.edu."
"""Carnegie Mellon University""の名称を使う場合。","""When using the name ""Carnegie Mellon University""."
"""Carnegie Mellon""の名称を使う場合。","""When using the name Carnegie Mellon."
"""Castor""という名称を使う場合。
Intalio Inc.の許可を取る。
""Exolab""、""Castor""、""Intalio""は、Intalio Inc.の登録商標である。","Use of the name ""Castor"". with the permission of Intalio Inc."" Exolab"", ""Castor"" and ""Intalio"" are registered trademarks of Intalio Inc."
"""Center for Intelligent Information Retrieval""、""University of Massachusetts"" という名称を使う場合。
info@ciir.cs.umass.eduに連絡する。","""Center for Intelligent Information Retrieval"", to use the name ""University of Massachusetts"". info@ciir.cs.umass.eduに連絡する."
"""CodeIgniter""という名称を使う場合。 
EllisLab, Inc.の許可を取る。","To use the name ""CodeIgniter"". Get permission from EllisLab, Inc."
"""ColorBrewer""という名称を使う場合。Cynthia Brewer(cbrewer@psu.edu)に連絡する。","""If you want to use the name ""ColorBrewer"". contact Cynthia Brewer (cbrewer@psu.edu)."
"""ColorBrewer""という名称を使う場合。Cynthia Brewerの許可を取る。 
","""When using the name ""ColorBrewer"". get permission from Cynthia Brewer."
"""Crimson""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""Crimson"", when using the name ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""CyberNeko""、""NekoHTML""という名称を使う場合。
andyc@cyberneko.netに連絡する。","""CyberNeko"" and ""NekoHTML"", if you use the names ""CyberNeko"" and ""NekoHTML"". andyc@cyberneko.netに連絡する."
"""CyberNeko""という名称を使う場合。
著作者の許可を取る。","""If you use the name ""CyberNeko"". Get permission from the author."
"""DOM4J""という名称を使う場合。
MetaStuff, Ltd.の許可を取る。
""DOM4J""は、MetaStuff, Ltd.の登録商標である。","""If you use the name ""DOM4J"", you have the permission of MetaStuff, Ltd."" DOM4J"" is a registered trademark of MetaStuff, Ltd."
"""DOM4J""という名称を使う場合。
dom4j-info@metastuff.comに連絡して、MetaStuff, Ltd.の許可を取る。","""If you want to use the name ""DOM4J"". dom4j-info@metastuff.comに連絡して and get permission from MetaStuff, Ltd."
"""DOM4J""は、MetaStuff, Ltd.の登録商標である。

正当なクレジットは""DOM4J Project http://www.dom4j.org/""にある。
","""DOM4J"" is a registered trademark of MetaStuff, Ltd. Legitimate credit can be found at ""DOM4J Project http://www.dom4j.org/""."
"""Dale Schumacher""の名称を使う場合。","""When using the name ""Dale Schumacher""."
"""Deusty""の名称やコントリビュータの名前を使う場合。
Deusty, LLCの許可を取る。
","""Deusty"" name or the name of a contributor. get permission from Deusty, LLC."
"""Digital Equipment Corporation""の名称、商標、ロゴを使う場合。
Digital Equipment Corporationの許可を取る。","""Digital Equipment Corporation"" name, trademark, or logo; obtain Digital Equipment Corporation's permission to use it."
"""Digital""、 ""Tektronix""の名称を使う場合。","""Digital"" and ""Tektronix"" names are used."
"""Digital""の名称を使う場合。","""When using the name ""Digital""."
"""ExoLab""という名称を使う場合。
info@exolab.orgに連絡して、 Intalio Inc.の許可を取る。","""ExoLab"" if you wish to use the name ""ExoLab"". info@exolab.orgに連絡して and get permission from Intalio Inc."
"""Exolab""、""Castor""、""Intalio""は、Intalio Inc.の登録商標である。

正当なクレジットは""ExoLab Project (http://www.exolab.org/)""にある。","""Exolab"", ""Castor"" and ""Intalio"" are registered trademarks of Intalio Inc. Legitimate credit is given to the ""ExoLab Project (http://www.exolab.org/)""."
"""FourThought LLC""の名称を使う場合。","""When using the name ""FourThought LLC""."
"""FreeMarker""、""Visigoth""という名称を使う場合。
visigoths@visigoths.orgに連絡する。","""FreeMarker"", when using the name ""Visigoth"". visigoths@visigoths.orgに連絡する."
"""FreeMarker""、""Visigoth""を使う場合。
Visigoth Software Societyの許可を取る。","To use ""FreeMarker"", ""Visigoth"", and ""FreeMarker"", obtain permission from Visigoth Software Society."
"""Gargoyle Software""という名称を使う場合。
info@GargoyleSoftware.comに連絡する。","""When using the name ""Gargoyle Software"". info@GargoyleSoftware.comに連絡する."
"""Geoff Kuenning""という名称を使う場合。","""When using the name Geoff Kuenning."
"""Giampaolo Rodola'""の名称を使う場合。","""When using the name 'Giampaolo Rodola'."
"""Graz University of Technology""、""IAIK of Graz University of Technology""という名称を使う場合。","""Graz University of Technology"" and ""IAIK of Graz University of Technology"" when using the name ""Graz University of Technology""."
"""Hewlett Packard""、""Digital""の名称を使う場合。","""Hewlett Packard"" and ""Digital"" names are used."
"""Hewlett-Packard ""の名称を使う場合。","""When using the Hewlett-Packard name."
"""Hewlett-Packard Company""の名称を使う場合。","""Hewlett-Packard Company"" if you use the name ""Hewlett-Packard Company."
"""Hewlett-Packard""の名称を使う場合。","""If you use the name ""Hewlett-Packard""."
"""HtmlUnit""という名称を使う場合。
Gargoyle Software Inc.の許可を取る。","To use the name ""HtmlUnit"", obtain permission from Gargoyle Software Inc."
"""Hypersonic SQL""の名称を使う場合。
Hypersonic SQL Groupの許可を取る。","""Hypersonic SQL"" name. get permission from the Hypersonic SQL Group."
"""IAIK PKCS Wrapper""、""IAIK""という名称を使う場合。
Graz University of Technologyの許可を取る。","""IAIK PKCS Wrapper"", if you use the name ""IAIK"". get permission from Graz University of Technology."
"""IBM""の名称を使う場合。","""When using the name ""IBM""."
"""IBM""の名称を使う場合。 ","""When using the name ""IBM""."
"""ICC""、""The International Color Consortium""という名称を使う場合。","""ICC"" and ""The International Color Consortium"" are used."
"""Indiana University""、""Indiana University Extreme! Lab""を使う場合。
Indiana Universityの許可を取る。その際、http://www.extreme.indiana.edu/に連絡する。","To use ""Indiana University"" or ""Indiana University Extreme! Lab"". get permission from Indiana University. You can do so at http://www.extreme.indiana.edu/に連絡する."
"""Indiana University""という名称を使う場合。
Indiana Universityの許可を取る。","If you want to use the name ""Indiana University"", get permission from Indiana University."
"""Info-ZIP""(または、大文字にすることと限らないが、""Info-ZIP""を変形したもの)、""Pocket UnZip""、""WiZ""、""MacZip""という名称を使う場合。
Info-ZIPの許可を取る。","Get Info-ZIP permission to use the names ""Info-ZIP"" (or a variant of ""Info-ZIP"", but not necessarily capitalized), ""Pocket UnZip"", ""WiZ"", and ""MacZip""."
"""InfoEther, LLC""の名称やコントリビュータの名前を使う場合。","""InfoEther, LLC"" or the name of the contributor, if you use the name of the contributor."
"""Intel Corporation""の名称を使う場合。","""Intel Corporation"" if you use the name ""Intel Corporation""."
"""Intel Corporation""の名称を使う場合。
","""Intel Corporation"" if you use the name ""Intel Corporation""."
"""InterBase""、""ISC""、""IB""の名称を使う場合。
Interbaseの許可を取る。","""InterBase"", ""ISC"", and ""IB"" names. get permission from Interbase."
"""InterBase""、""Inprise""、""Borland""の名称を使う場合。
InterBaseの許可を取る。","""InterBase"", ""Inprise"" and ""Borland"" names are used. get permission from InterBase."
"""InterBase""、""Interbase""の名称を使う場合。
Interbaseの許可を取る。","""InterBase"", ""Interbase"" names are used. get permission from Interbase."
"""InterBase""の名称を使う場合。
Inpriseの許可を取る。","If you use the name ""InterBase"". get permission from Inprise."
"""J2SSH""、""Lee David Painter""、""SSHTools""という名称を使う場合。
lee@sshtools.comに連絡する。","""J2SSH"", ""Lee David Painter"", and ""SSHTools"" when using the names ""J2SSH"", ""Lee David Painter"", and ""SSHTools"". lee@sshtools.comに連絡する."
"""J2SSH""、""SSHTools""という名称を使う場合。
Lee David Painterの許可を取る。","""J2SSH"", ""SSHTools"" names. get permission from Lee David Painter."
"""JDBM""という名称を使う場合。
Cees de Grootの許可を取る。","If you want to use the name ""JDBM"". get permission from Cees de Groot."
"""JDBM""という名称を使う場合。
cg@cdegroot.comに連絡して、Cees de Grootの許可を取る。","""If you want to use the name ""JDBM"". cg@cdegroot.comに連絡して and get permission from Cees de Groot."
"""JDOM""という名称を使う場合。
JDOM Project Management (pm@jdom.org)の許可を取る。","""When using the name ""JDOM"". get permission from JDOM Project Management (pm@jdom.org)."
"""JDOM""という名称を使う場合。
JDOM Project Management <request_AT_jdom_DOT_org>の許可を取る。","If you use the name ""JDOM"". get permission from JDOM Project Management <request_AT_jdom_DOT_org>."
"""JDOM""という名称を使う場合。
license@jdom.orgに連絡する。","""When using the name ""JDOM"". license@jdom.orgに連絡する."
"""JDOM""という名称を使う場合。 <request_AT_jdom_DOT_org>に連絡する。","If you use the name ""JDOM"". Contact <request_AT_jdom_DOT_org>."
"""JPNIC""の名称を使う場合。書面による承認をとる。","When using the name ""JPNIC"". Written approval is required."
"""JXTA""という名称を使う場合。
Sunの許可を得る。
","If you want to use the name ""JXTA"", get permission from Sun."
"""Jakarta""、""Avalon""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""Jakarta"", ""Avalon"", and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""M.I.T."", ""M.I.T. S.I.P.B.""の名称を使う場合。","""M.I.T."", ""M.I.T. S.I.P.B."" when using the name."
"""MX4J""という名称を使う場合。
Simone Bordetの許可を取る。","If you want to use the name ""MX4J"". get permission from Simone Bordet."
"""MX4J""という名称を使う場合。
biorn_steedom [at] users [dot] sourceforge [dot] net に連絡する。","""If you use the name ""MX4J"". contact biorn_steedom [at] users [dot] sourceforge [dot] net."
"""Marc Strapetz""の名称やコントリビュータの名前を使う場合。","""When using the name ""Marc Strapetz"" or a contributor's name."
"""Markdown""の名称やコントリビュータの名前を使う場合。","""Markdown"" name or contributor's name if you want to use it."
"""Modification is permitted.""というキャプションが含まれている","It contains the caption ""Modification is permitted."""
"""Mylex Corporation""の名称を使う場合。","If you use the name ""Mylex Corporation""."
"""Network Computing Devices, Inc.""の名称を使う場合。","""When using the name ""Network Computing Devices, Inc."
"""Object Craft""の名称を使う場合。","If you use the name ""Object Craft""."
"""OpenEvidence Toolkit""および""OpenEvidence Project""という名称を使用する場合。
openevidence-core@openevidence.orgに連絡する。","""OpenEvidence Toolkit"" and ""OpenEvidence Project"". openevidence-core@openevidence.orgに連絡する."
"""OpenEvidence""の名称を使用する場合。
OpenEvidence Projectの許可を取る。","If you are using the name ""OpenEvidence"", get permission from the OpenEvidence Project."
"""OpenLDAP""は、OpenLDAP Foundactionの登録商標である。","""OpenLDAP"" is a registered trademark of OpenLDAP Foundaction."
"""OpenSSL Toolkit""および""OpenSSL Project""という名称を使用する場合。openssl-core@openssl.orgに連絡する。","""OpenSSL Toolkit"" and ""OpenSSL Project"". openssl-core@openssl.orgに連絡する."
"""OpenSSL""という名称を使用する場合。書面によるOpenSSL Projectの許可を取る。","To use the name ""OpenSSL"". Get written permission from the OpenSSL Project."
"""OpenSymphony""、""OGNL""という名称を使う場合。
OpenSymphony Groupの許可を取る。","""OpenSymphony"" and ""OGNL"" names. get permission from the OpenSymphony Group."
"""OpenSymphony""、""OSWorkflow""という名称を使う場合。
OpenSymphony Groupの許可を取る。","""OpenSymphony"". if you use the names ""OpenSymphony"" and ""OSWorkflow"". get permission from the OpenSymphony Group."
"""OpenSymphony""、""PropertySet""という名称を使う場合。
OpenSymphony Groupの許可を取る。","""OpenSymphony"", ""PropertySet"" names. get permission from the OpenSymphony Group."
"""OpenSymphony""、""SiteMesh""という名称を使う場合。
OpenSymphony Groupの許可を取る。","""OpenSymphony"", ""SiteMesh"" names. get permission from the OpenSymphony Group."
"""OpenSymphony""、""The OpenSymphony Group""という名称を使う場合。
license@opensymphony.comに連絡する。","""OpenSymphony"", when using the name ""The OpenSymphony Group"". license@opensymphony.comに連絡する."
"""OpenSymphony""、""WebWork""という名称を使う場合。
OpenSymphony Groupの許可を取る。","""OpenSymphony"". if you use the names ""OpenSymphony"" and ""WebWork"". get permission from the OpenSymphony Group."
"""OpenSymphony""、""XWork""という名称を使う場合。
OpenSymphony Groupの許可を取る。","""OpenSymphony"" and ""XWork"" names. get permission from the OpenSymphony Group."
"""PHP""という名称を使う場合。
group@php.netに連絡する。","""PHP"" as the name is used. group@php.netに連絡する."
"""PT Sans""、""ParaType""という名称をユーザに提示する主要なフォント名に使う場合、ParaTypeの許可を取る。","""PT Sans"", ""ParaType"" is used as the primary font name presented to the user, ask permission for ParaType."
