best,alternative,automatic
Non-Profit Open Software License 3.0 (NPOSL-3.0),tldr-title:Non-Profit Open Software License 3.0 (NPOSL-3.0),true
Non-Profit Open Software License 3.0 (NPOSL-3.0),non-profit-open-software-license-3.0-(nposl-3.0),true
Non-Profit Open Software License 3.0 (NPOSL-3.0),tldr-slug:non-profit-open-software-license-3.0-(nposl-3.0),true
Nethack General Public License (NGPL),tldr-title:Nethack General Public License (NGPL),true
Nethack General Public License (NGPL),nethack-general-public-license-(ngpl),true
Nethack General Public License (NGPL),tldr-slug:nethack-general-public-license-(ngpl),true
Net Boolean Public License v1 (NBPL-1.0),tldr-title:Net Boolean Public License v1 (NBPL-1.0),true
Net Boolean Public License v1 (NBPL-1.0),net-boolean-public-license-v1-(nbpl-1.0),true
Net Boolean Public License v1 (NBPL-1.0),tldr-slug:net-boolean-public-license-v1-(nbpl-1.0),true
Naumen Public License (Naumen),tldr-title:Naumen Public License (Naumen),true
Naumen Public License (Naumen),naumen-public-license-(naumen),true
Naumen Public License (Naumen),tldr-slug:naumen-public-license-(naumen),true
NASA Open Source Agreement 1.3 (NASA-1.3),tldr-title:NASA Open Source Agreement 1.3 (NASA-1.3),true
NASA Open Source Agreement 1.3 (NASA-1.3),nasa-open-source-agreement-1.3-(nasa-1.3),true
NASA Open Source Agreement 1.3 (NASA-1.3),tldr-slug:nasa-open-source-agreement-1.3-(nasa-1.3),true
Multics License (Multics),tldr-title:Multics License (Multics),true
Multics License (Multics),multics-license-(multics),true
Multics License (Multics),tldr-slug:multics-license-(multics),true
Lucent Public License v1.02 (LPL-1.02),tldr-title:Lucent Public License v1.02 (LPL-1.02),true
Lucent Public License v1.02 (LPL-1.02),lucent-public-license-v1.02-(lpl-1.02),true
Lucent Public License v1.02 (LPL-1.02),tldr-slug:lucent-public-license-v1.02-(lpl-1.02),true
Intel Open Source License (Intel),tldr-title:Intel Open Source License (Intel),true
Intel Open Source License (Intel),intel-open-source-license-(intel),true
Intel Open Source License (Intel),tldr-slug:intel-open-source-license-(intel),true
Independent JPEG Group License (IJG),tldr-title:Independent JPEG Group License (IJG),true
Independent JPEG Group License (IJG),independent-jpeg-group-license-(ijg),true
Independent JPEG Group License (IJG),tldr-slug:independent-jpeg-group-license-(ijg),true
Imlib2 License (Imlib2),tldr-title:Imlib2 License (Imlib2),true
Imlib2 License (Imlib2),imlib2-license-(imlib2),true
Imlib2 License (Imlib2),tldr-slug:imlib2-license-(imlib2),true
IBM PowerPC Initialization and Boot Software (IBM-pibs),tldr-title:IBM PowerPC Initialization and Boot Software (IBM-pibs),true
IBM PowerPC Initialization and Boot Software (IBM-pibs),ibm-powerpc-initialization-and-boot-software-(ibm-pibs),true
IBM PowerPC Initialization and Boot Software (IBM-pibs),tldr-slug:ibm-powerpc-initialization-and-boot-software-(ibm-pibs),true
Historic Permission Notice and Disclaimer (HPND),tldr-title:Historic Permission Notice and Disclaimer (HPND),true
Historic Permission Notice and Disclaimer (HPND),historic-permission-notice-and-disclaimer-(hpnd),true
Historic Permission Notice and Disclaimer (HPND),tldr-slug:historic-permission-notice-and-disclaimer-(hpnd),true
Freetype Project License (FTL),tldr-title:Freetype Project License (FTL),true
Freetype Project License (FTL),freetype-project-license-(ftl),true
Freetype Project License (FTL),tldr-slug:freetype-project-license-(ftl),true
Frameworx Open License 1.0 (Frameworx-1.0),tldr-title:Frameworx Open License 1.0 (Frameworx-1.0),true
Frameworx Open License 1.0 (Frameworx-1.0),frameworx-open-license-1.0-(frameworx-1.0),true
Frameworx Open License 1.0 (Frameworx-1.0),tldr-slug:frameworx-open-license-1.0-(frameworx-1.0),true
EU DataGrid Software License (EUDatagrid),tldr-title:EU DataGrid Software License (EUDatagrid),true
EU DataGrid Software License (EUDatagrid),eu-datagrid-software-license-(eudatagrid),true
EU DataGrid Software License (EUDatagrid),tldr-slug:eu-datagrid-software-license-(eudatagrid),true
Entessa Public License v1.0 (Entessa),tldr-title:Entessa Public License v1.0 (Entessa),true
Entessa Public License v1.0 (Entessa),entessa-public-license-v1.0-(entessa),true
Entessa Public License v1.0 (Entessa),tldr-slug:entessa-public-license-v1.0-(entessa),true
Eiffel Forum License v2.0 (EFL-2.0),tldr-title:Eiffel Forum License v2.0 (EFL-2.0),true
Eiffel Forum License v2.0 (EFL-2.0),eiffel-forum-license-v2.0-(efl-2.0),true
Eiffel Forum License v2.0 (EFL-2.0),tldr-slug:eiffel-forum-license-v2.0-(efl-2.0),true
Condor Public License v1.1 (Condor-1.1),tldr-title:Condor Public License v1.1 (Condor-1.1),true
Condor Public License v1.1 (Condor-1.1),condor-public-license-v1.1-(condor-1.1),true
Condor Public License v1.1 (Condor-1.1),tldr-slug:condor-public-license-v1.1-(condor-1.1),true
Common Public License 1.0 (CPL-1.0),tldr-title:Common Public License 1.0 (CPL-1.0),true
Common Public License 1.0 (CPL-1.0),common-public-license-1.0-(cpl-1.0),true
Common Public License 1.0 (CPL-1.0),tldr-slug:common-public-license-1.0-(cpl-1.0),true
CNRI Python License (CNRI-Python),tldr-title:CNRI Python License (CNRI-Python),true
CNRI Python License (CNRI-Python),cnri-python-license-(cnri-python),true
CNRI Python License (CNRI-Python),tldr-slug:cnri-python-license-(cnri-python),true
Attribution Assurance License (AAL),tldr-title:Attribution Assurance License (AAL),true
Attribution Assurance License (AAL),attribution-assurance-license-(aal),true
Attribution Assurance License (AAL),tldr-slug:attribution-assurance-license-(aal),true
ANTLR Software Rights Notice (ANTLR-PD),tldr-title:ANTLR Software Rights Notice (ANTLR-PD),true
ANTLR Software Rights Notice (ANTLR-PD),antlr-software-rights-notice-(antlr-pd),true
ANTLR Software Rights Notice (ANTLR-PD),tldr-slug:antlr-software-rights-notice-(antlr-pd),true
Adaptive Public License 1.0 (APL-1.0),tldr-title:Adaptive Public License 1.0 (APL-1.0),true
Adaptive Public License 1.0 (APL-1.0),adaptive-public-license-1.0-(apl-1.0),true
Adaptive Public License 1.0 (APL-1.0),tldr-slug:adaptive-public-license-1.0-(apl-1.0),true
Open Software Licence 3.0,tldr-title:Open Software Licence 3.0,true
Open Software Licence 3.0,open-software-licence-3.0,true
Open Software Licence 3.0,tldr-slug:open-software-licence-3.0,true
opencv,tldr-slug:opencv,true
opencv,tldr-title:opencv,true
Ubuntu Font License 1.0 (UFL-1.0),tldr-title:Ubuntu Font License 1.0 (UFL-1.0),true
Ubuntu Font License 1.0 (UFL-1.0),"ubuntu-font-license,-1.0",true
Ubuntu Font License 1.0 (UFL-1.0),"tldr-slug:ubuntu-font-license,-1.0",true
Creative Commons Attribution-NonCommercial 2.0 Generic (CC BY-NC 2.0),tldr-title:Creative Commons Attribution-NonCommercial 2.0 Generic (CC BY-NC 2.0),true
Creative Commons Attribution-NonCommercial 2.0 Generic (CC BY-NC 2.0),creative-commons-public-license-(ccpl),true
Creative Commons Attribution-NonCommercial 2.0 Generic (CC BY-NC 2.0),tldr-slug:creative-commons-public-license-(ccpl),true
Microsoft Shared Source Community License (MS-CL),tldr-title:Microsoft Shared Source Community License (MS-CL),true
Microsoft Shared Source Community License (MS-CL),microsoft-shared-source-community-license-(ms-cl),true
Microsoft Shared Source Community License (MS-CL),tldr-slug:microsoft-shared-source-community-license-(ms-cl),true
Delete Me,tldr-title:Delete Me,true
Delete Me,google-terms-of-service,true
Delete Me,tldr-slug:google-terms-of-service,true
Motif - New Modification Principle V1 (NMPV1) License,tldr-title:Motif - New Modification Principle V1 (NMPV1) License,true
Motif - New Modification Principle V1 (NMPV1) License,motif---new-modification-principle-v1-(nmpv1)-license,true
Motif - New Modification Principle V1 (NMPV1) License,tldr-slug:motif---new-modification-principle-v1-(nmpv1)-license,true
MiTTY,tldr-slug:mitty,true
MiTTY,tldr-title:MiTTY,true
Phpwscript,tldr-slug:phpwscript,true
Phpwscript,tldr-title:Phpwscript,true
Tóca DaVinci OS - EULA,tldr-title:Tóca DaVinci OS - EULA,true
Tóca DaVinci OS - EULA,tóca-davinci-os---eula,true
Tóca DaVinci OS - EULA,tldr-slug:tóca-davinci-os---eula,true
zimbra public license,tldr-title:zimbra public license,true
zimbra public license,zimbra-public-license,true
zimbra public license,tldr-slug:zimbra-public-license,true
The Don't Ask Me About It License,tldr-title:The Don't Ask Me About It License,true
The Don't Ask Me About It License,the-don't-ask-me-about-it-license,true
The Don't Ask Me About It License,tldr-slug:the-don't-ask-me-about-it-license,true
Lisp Lesser General Public License (LLGPL),tldr-title:Lisp Lesser General Public License (LLGPL),true
Lisp Lesser General Public License (LLGPL),lisp-lesser-general-public-license,true
Lisp Lesser General Public License (LLGPL),tldr-slug:lisp-lesser-general-public-license,true
Beer Recipe License (BRL),tldr-title:Beer Recipe License (BRL),true
Beer Recipe License (BRL),beer-recipe,true
Beer Recipe License (BRL),tldr-slug:beer-recipe,true
DON'T BE A DICK PUBLIC LICENSE,tldr-title:DON'T BE A DICK PUBLIC LICENSE,true
DON'T BE A DICK PUBLIC LICENSE,don't-be-a-dick-public-license,true
DON'T BE A DICK PUBLIC LICENSE,tldr-slug:don't-be-a-dick-public-license,true
DBAD Public License,tldr-title:DBAD Public License,true
DBAD Public License,dbad-public-license,true
DBAD Public License,tldr-slug:dbad-public-license,true
ODC Open Database License (ODbL),tldr-title:ODC Open Database License (ODbL),true
ODC Open Database License (ODbL),odc-open-database-license-(odbl),true
ODC Open Database License (ODbL),tldr-slug:odc-open-database-license-(odbl),true
AbCMS,tldr-slug:abcms,true
AbCMS,tldr-title:AbCMS,true
tosg-2.00-(toca-operating-system-general-license),tldr-slug:tosg-2.00-(toca-operating-system-general-license),true
tosg-2.00-(toca-operating-system-general-license),Tóca Operating System General License 2.0 (TOSG-2.00),true
tosg-2.00-(toca-operating-system-general-license),tldr-title:Tóca Operating System General License 2.0 (TOSG-2.00),true
PokerStar,tldr-slug:pokerstar,true
PokerStar,tldr-title:PokerStar,true
Dell Mohali,tldr-title:Dell Mohali,true
Dell Mohali,dell-mohali,true
Dell Mohali,tldr-slug:dell-mohali,true
Homepage slider,tldr-title:Homepage slider,true
Homepage slider,homepage-slider,true
Homepage slider,tldr-slug:homepage-slider,true
kfkf,tldr-slug:kfkf,true
kfkf,tldr-title:kfkf,true
Tunecore's Music Publishing Administration,tldr-title:Tunecore's Music Publishing Administration,true
Tunecore's Music Publishing Administration,tunecore's-music-publishing-administration,true
Tunecore's Music Publishing Administration,tldr-slug:tunecore's-music-publishing-administration,true
Simple Non Code License (SNCL) 2.1.0,tldr-title:Simple Non Code License (SNCL) 2.1.0,true
Simple Non Code License (SNCL) 2.1.0,simple-non-code-license-2.0.2,true
Simple Non Code License (SNCL) 2.1.0,tldr-slug:simple-non-code-license-2.0.2,true
HBScrollPageView,tldr-slug:hbscrollpageview,true
HBScrollPageView,tldr-title:HBScrollPageView,true
hjs-license,tldr-slug:hjs-license,true
hjs-license,tldr-title:hjs-license,true
Haxcv License,tldr-title:Haxcv License,true
Haxcv License,haxcv-license,true
Haxcv License,tldr-slug:haxcv-license,true
Quchaogu Base,tldr-title:Quchaogu Base,true
Quchaogu Base,quchaogu-base,true
Quchaogu Base,tldr-slug:quchaogu-base,true
FECommonPod,tldr-slug:fecommonpod,true
FECommonPod,tldr-title:FECommonPod,true
3.0,tldr-slug:3.0,true
3.0,tldr-title:3.0,true
<-p><p>,tldr-slug:<-p><p>,true
<-p><p>,</p><p>,true
<-p><p>,tldr-title:</p><p>,true
Shaky Shaky - Daddy Yankee,tldr-title:Shaky Shaky - Daddy Yankee,true
Shaky Shaky - Daddy Yankee,shaky-shaky---daddy-yankee,true
Shaky Shaky - Daddy Yankee,tldr-slug:shaky-shaky---daddy-yankee,true
Intel XDK,tldr-title:Intel XDK,true
Intel XDK,intel-xdk,true
Intel XDK,tldr-slug:intel-xdk,true
Test Intel XDK,tldr-title:Test Intel XDK,true
Test Intel XDK,test-intel-xdk,true
Test Intel XDK,tldr-slug:test-intel-xdk,true
Teste XDK,tldr-title:Teste XDK,true
Teste XDK,teste-xdk,true
Teste XDK,tldr-slug:teste-xdk,true
Hover figure caption with mouse direction,tldr-title:Hover figure caption with mouse direction,true
Hover figure caption with mouse direction,hover-figure-caption-with-mouse-direction,true
Hover figure caption with mouse direction,tldr-slug:hover-figure-caption-with-mouse-direction,true
pokemon go pro,tldr-title:pokemon go pro,true
pokemon go pro,pokemon-go-pro,true
pokemon go pro,tldr-slug:pokemon-go-pro,true
Open CASCADE Technology Public License v6.5,tldr-title:Open CASCADE Technology Public License v6.5,true
Open CASCADE Technology Public License v6.5,open-cascade-technology-public-license-v6.5,true
Open CASCADE Technology Public License v6.5,tldr-slug:open-cascade-technology-public-license-v6.5,true
New Relic Agent License,tldr-title:New Relic Agent License,true
New Relic Agent License,new-relic-agent-license,true
New Relic Agent License,tldr-slug:new-relic-agent-license,true
ngoan,tldr-slug:ngoan,true
ngoan,tldr-title:ngoan,true
OK,tldr-slug:ok,true
OK,tldr-title:OK,true
vidio68,tldr-slug:vidio68,true
vidio68,tldr-title:vidio68,true
sleepycat lisence,tldr-title:sleepycat lisence,true
sleepycat lisence,sleepycat-lisence,true
sleepycat lisence,tldr-slug:sleepycat-lisence,true
arulantony,tldr-slug:arulantony,true
arulantony,tldr-title:arulantony,true
GNU,tldr-slug:gnu,true
GNU,tldr-title:GNU,true
Test license,tldr-title:Test license,true
Test license,test-license,true
Test license,tldr-slug:test-license,true
Winmail Opener,tldr-title:Winmail Opener,true
Winmail Opener,winmail-opener,true
Winmail Opener,tldr-slug:winmail-opener,true
"participant-agreement,-release-and-liability-waiver","tldr-slug:participant-agreement,-release-and-liability-waiver",true
"participant-agreement,-release-and-liability-waiver","Skyzone - Participant Agreement, Release and Liability Waiver",true
"participant-agreement,-release-and-liability-waiver","tldr-title:Skyzone - Participant Agreement, Release and Liability Waiver",true
Moppie,tldr-slug:moppie,true
Moppie,tldr-title:Moppie,true
.,tldr-title:.,true
.,pokemon-go-terms-of-service,true
.,tldr-slug:pokemon-go-terms-of-service,true
HiSuite,tldr-slug:hisuite,true
HiSuite,tldr-title:HiSuite,true
Code Energy Public License (CEPL-1.0),tldr-title:Code Energy Public License (CEPL-1.0),true
Code Energy Public License (CEPL-1.0),code-energy-public-license-(cepl-1.0),true
Code Energy Public License (CEPL-1.0),tldr-slug:code-energy-public-license-(cepl-1.0),true
SIP,tldr-slug:sip,true
SIP,tldr-title:SIP,true
ccncnd,tldr:ccncnd,true
ccncnd,Creative Commons Attribution NonCommercial NoDerivs (CC-NC-ND),true
ccncnd,tldr-title:Creative Commons Attribution NonCommercial NoDerivs (CC-NC-ND),true
ccncnd,creative-commons-attribution-noncommercial-noderivs-(cc-nc-nd),true
ccncnd,tldr-slug:creative-commons-attribution-noncommercial-noderivs-(cc-nc-nd),true
Creative Commons Attribution NonCommercial ShareAlike (CC-NC-SA),tldr-title:Creative Commons Attribution NonCommercial ShareAlike (CC-NC-SA),true
Creative Commons Attribution NonCommercial ShareAlike (CC-NC-SA),creative-commons-attribution-noncommercial-sharealike-(cc-nc-sa),true
Creative Commons Attribution NonCommercial ShareAlike (CC-NC-SA),tldr-slug:creative-commons-attribution-noncommercial-sharealike-(cc-nc-sa),true
Creative Commons Attribution NonCommercial (CC-BY-NC),tldr-title:Creative Commons Attribution NonCommercial (CC-BY-NC),true
Creative Commons Attribution NonCommercial (CC-BY-NC),creative-commons-attribution-noncommercial-(cc-nc),true
Creative Commons Attribution NonCommercial (CC-BY-NC),tldr-slug:creative-commons-attribution-noncommercial-(cc-nc),true
Creative Commons Attribution NoDerivs (CC-ND),tldr-title:Creative Commons Attribution NoDerivs (CC-ND),true
Creative Commons Attribution NoDerivs (CC-ND),creative-commons-attribution-noderivs-(cc-nd),true
Creative Commons Attribution NoDerivs (CC-ND),tldr-slug:creative-commons-attribution-noderivs-(cc-nd),true
Creative Commons Attribution Share Alike (CC-SA),tldr-title:Creative Commons Attribution Share Alike (CC-SA),true
Creative Commons Attribution Share Alike (CC-SA),creative-commons-attribution-share-alike-(cc-sa),true
Creative Commons Attribution Share Alike (CC-SA),tldr-slug:creative-commons-attribution-share-alike-(cc-sa),true
Creative Commons Attribution 3.0 Unported (CC-BY),tldr-title:Creative Commons Attribution 3.0 Unported (CC-BY),true
Creative Commons Attribution 3.0 Unported (CC-BY),creative-commons-attribution-(cc),true
Creative Commons Attribution 3.0 Unported (CC-BY),tldr-slug:creative-commons-attribution-(cc),true
build setting,tldr-title:build setting,true
build setting,build-setting,true
build setting,tldr-slug:build-setting,true
The Apache Software Foundation Licenses ,tldr-title:The Apache Software Foundation Licenses ,true
The Apache Software Foundation Licenses ,the-apache-software-foundation-licenses-,true
The Apache Software Foundation Licenses ,tldr-slug:the-apache-software-foundation-licenses-,true
SYCL,tldr-slug:sycl,true
SYCL,tldr-title:SYCL,true
yyy,tldr-slug:yyy,true
yyy,tldr-title:yyy,true
Sandboxie - (Personal & Business TOS),tldr-title:Sandboxie - (Personal & Business TOS),true
Sandboxie - (Personal & Business TOS),sandboxie---(personal-&-business-tos),true
Sandboxie - (Personal & Business TOS),tldr-slug:sandboxie---(personal-&-business-tos),true
"Quick Summary Use this license to use or redistribute the TORQUE software v2.5+ and later versions. Redistributions in any form must be accompanied by copyright notice, list of conditions (paragraph 4 & 5 Fulltext) , and information on how to obtain complete source code for TORQUE.","tldr-title:Quick Summary Use this license to use or redistribute the TORQUE software v2.5+ and later versions. Redistributions in any form must be accompanied by copyright notice, list of conditions (paragraph 4 & 5 Fulltext) , and information on how to obtain complete source code for TORQUE.",true
"Quick Summary Use this license to use or redistribute the TORQUE software v2.5+ and later versions. Redistributions in any form must be accompanied by copyright notice, list of conditions (paragraph 4 & 5 Fulltext) , and information on how to obtain complete source code for TORQUE.","quick-summary-use-this-license-to-use-or-redistribute-the-torque-software-v2.5+-and-later-versions.-redistributions-in-any-form-must-be-accompanied-by-copyright-notice,-list-of-conditions-(paragraph-4-&-5-fulltext)-,-and-information-on-how-to-obtain-complete-source-code-for-torque.",true
"Quick Summary Use this license to use or redistribute the TORQUE software v2.5+ and later versions. Redistributions in any form must be accompanied by copyright notice, list of conditions (paragraph 4 & 5 Fulltext) , and information on how to obtain complete source code for TORQUE.","tldr-slug:quick-summary-use-this-license-to-use-or-redistribute-the-torque-software-v2.5+-and-later-versions.-redistributions-in-any-form-must-be-accompanied-by-copyright-notice,-list-of-conditions-(paragraph-4-&-5-fulltext)-,-and-information-on-how-to-obtain-complete-source-code-for-torque.",true
Wizardry License,tldr-title:Wizardry License,true
Wizardry License,wizardry-license,true
Wizardry License,tldr-slug:wizardry-license,true
BSD 0-Clause License (0BSD),tldr-title:BSD 0-Clause License (0BSD),true
BSD 0-Clause License (0BSD),bsd-0-clause-license,true
BSD 0-Clause License (0BSD),tldr-slug:bsd-0-clause-license,true
Themeforest Regular License,tldr-title:Themeforest Regular License,true
Themeforest Regular License,themeforest-regular-license,true
Themeforest Regular License,tldr-slug:themeforest-regular-license,true
Egreen Commercial License,tldr-title:Egreen Commercial License,true
Egreen Commercial License,egreen-commercial-license,true
Egreen Commercial License,tldr-slug:egreen-commercial-license,true
ЧТО ЗА ХУЙНЯ!!!!!?!!?!?!_))))) :D,tldr-title:ЧТО ЗА ХУЙНЯ!!!!!?!!?!?!_))))) :D,true
ЧТО ЗА ХУЙНЯ!!!!!?!!?!?!_))))) :D,что-за-хуйня!!!!!-!!-!-!_)))))-:d,true
ЧТО ЗА ХУЙНЯ!!!!!?!!?!?!_))))) :D,tldr-slug:что-за-хуйня!!!!!-!!-!-!_)))))-:d,true
Jared M.F. Public License,tldr-title:Jared M.F. Public License,true
Jared M.F. Public License,jared-m.f.-public-license,true
Jared M.F. Public License,tldr-slug:jared-m.f.-public-license,true
Jared M.F. Open Source Public License,tldr-title:Jared M.F. Open Source Public License,true
Jared M.F. Open Source Public License,jared-m.f.-open-source-public-license,true
Jared M.F. Open Source Public License,tldr-slug:jared-m.f.-open-source-public-license,true
gridSlider,tldr-slug:gridslider,true
gridSlider,tldr-title:gridSlider,true
telepi,tldr-slug:telepi,true
telepi,tldr-title:telepi,true
MTS mechanical,tldr-title:MTS mechanical,true
MTS mechanical,mts-mechanical,true
MTS mechanical,tldr-slug:mts-mechanical,true
YMCMB,tldr-slug:ymcmb,true
YMCMB,tldr-title:YMCMB,true
Run,tldr-slug:run,true
Run,tldr-title:Run,true
Mts,tldr-slug:mts,true
Mts,tldr-title:Mts,true
Mechanical,tldr-slug:mechanical,true
Mechanical,tldr-title:Mechanical,true
apostilaobjetiva,tldr-slug:apostilaobjetiva,true
apostilaobjetiva,apostilasobjetiva,true
apostilaobjetiva,tldr-title:apostilasobjetiva,true
Maffiagame.nl,tldr-slug:maffiagame.nl,true
Maffiagame.nl,tldr-title:Maffiagame.nl,true
nayem,tldr-slug:nayem,true
nayem,tldr-title:nayem,true
PHP License 3.0.1,tldr-title:PHP License 3.0.1,true
PHP License 3.0.1,the-php-license-3.0.1,true
PHP License 3.0.1,tldr-slug:the-php-license-3.0.1,true
Muneto - License,tldr-title:Muneto - License,true
Muneto - License,muneto---license,true
Muneto - License,tldr-slug:muneto---license,true
TRDRLegal terms of servis,tldr-title:TRDRLegal terms of servis,true
TRDRLegal terms of servis,trdrlegal-terms-of-servis,true
TRDRLegal terms of servis,tldr-slug:trdrlegal-terms-of-servis,true
TestCocopods,tldr-slug:testcocopods,true
TestCocopods,tldr-title:TestCocopods,true
Google APIs Terms of Service,tldr-title:Google APIs Terms of Service,true
Google APIs Terms of Service,google-apis-terms-of-service,true
Google APIs Terms of Service,tldr-slug:google-apis-terms-of-service,true
test,tldr-slug:test,true
test,tldr-title:test,true
All rights served,tldr-title:All rights served,true
All rights served,all-rights-served,true
All rights served,tldr-slug:all-rights-served,true
whatsapp,tldr-slug:whatsapp,true
whatsapp,tldr-title:whatsapp,true
PMSDKLicense,tldr-slug:pmsdklicense,true
PMSDKLicense,tldr-title:PMSDKLicense,true
Zunga license,tldr-title:Zunga license,true
Zunga license,zunga-license,true
Zunga license,tldr-slug:zunga-license,true
GitLab.com Terms,tldr-title:GitLab.com Terms,true
GitLab.com Terms,gitlab.com-terms,true
GitLab.com Terms,tldr-slug:gitlab.com-terms,true
GitHub Terms of Service,tldr-title:GitHub Terms of Service,true
GitHub Terms of Service,github-terms-of-service,true
GitHub Terms of Service,tldr-slug:github-terms-of-service,true
hx711_SPI,tldr-slug:hx711_spi,true
hx711_SPI,tldr-title:hx711_SPI,true
MinecraftForge License,tldr-title:MinecraftForge License,true
MinecraftForge License,minecraftforge-license,true
MinecraftForge License,tldr-slug:minecraftforge-license,true
Open Government Licence v3 (UK),tldr-title:Open Government Licence v3 (UK),true
Open Government Licence v3 (UK),open-government-licence-v3-(uk),true
Open Government Licence v3 (UK),tldr-slug:open-government-licence-v3-(uk),true
Academic Free License 2.1 (AFL-2.1),tldr-title:Academic Free License 2.1 (AFL-2.1),true
Academic Free License 2.1 (AFL-2.1),academic-free-license-v.-2.1,true
Academic Free License 2.1 (AFL-2.1),tldr-slug:academic-free-license-v.-2.1,true
xubuntu vers. ,tldr-title:xubuntu vers. ,true
xubuntu vers. ,xubuntu-vers.-,true
xubuntu vers. ,tldr-slug:xubuntu-vers.-,true
Use License,tldr-title:Use License,true
Use License,use-license,true
Use License,tldr-slug:use-license,true
GoPro App,tldr-title:GoPro App,true
GoPro App,gopro-app,true
GoPro App,tldr-slug:gopro-app,true
gaffar123,tldr-slug:gaffar123,true
gaffar123,tldr-title:gaffar123,true
Deploy chi,tldr-title:Deploy chi,true
Deploy chi,deploy-chi,true
Deploy chi,tldr-slug:deploy-chi,true
Vivaldi Browser EULA,tldr-title:Vivaldi Browser EULA,true
Vivaldi Browser EULA,vivaldi-browser-eula,true
Vivaldi Browser EULA,tldr-slug:vivaldi-browser-eula,true
Getindor Glee License [GGL],tldr-title:Getindor Glee License [GGL],true
Getindor Glee License [GGL],getindor-glee-license-[ggl],true
Getindor Glee License [GGL],tldr-slug:getindor-glee-license-[ggl],true
Koko9999Kokomo@gmail.com,tldr-slug:koko9999kokomo@gmail.com,true
Koko9999Kokomo@gmail.com,tldr-title:Koko9999Kokomo@gmail.com,true
 Blender 2.77 Features ,tldr-title: Blender 2.77 Features ,true
 Blender 2.77 Features ,-blender-2.77-features-,true
 Blender 2.77 Features ,tldr-slug:-blender-2.77-features-,true
Animacion,tldr-slug:animacion,true
Animacion,tldr-title:Animacion,true
fal,tldr:fal,true
fal,Free Art License (FAL),true
fal,tldr-title:Free Art License (FAL),true
fal,free-art-license-(fal),true
fal,tldr-slug:free-art-license-(fal),true
Apple Public Source License 2.0 (APSL),tldr-title:Apple Public Source License 2.0 (APSL),true
Apple Public Source License 2.0 (APSL),apple-public-source-license-2.0-(apsl),true
Apple Public Source License 2.0 (APSL),tldr-slug:apple-public-source-license-2.0-(apsl),true
Apple Public Source License 2.0 (APSL),aspl2,true
Apple Public Source License 2.0 (APSL),tldr:aspl2,true
License,tldr-slug:license,true
License,tldr-title:License,true
netdisco,tldr-slug:netdisco,true
netdisco,tldr-title:netdisco,true
E.A.T School Lunch ,tldr-title:E.A.T School Lunch ,true
E.A.T School Lunch ,e.a.t-school-lunch-,true
E.A.T School Lunch ,tldr-slug:e.a.t-school-lunch-,true
Verified Content,tldr-title:Verified Content,true
Verified Content,verified-content,true
Verified Content,tldr-slug:verified-content,true
Liason License Agreement,tldr-title:Liason License Agreement,true
Liason License Agreement,liason-license-agreement,true
Liason License Agreement,tldr-slug:liason-license-agreement,true
FusionLord Custom License,tldr-title:FusionLord Custom License,true
FusionLord Custom License,fusionlord-customer-license,true
FusionLord Custom License,tldr-slug:fusionlord-customer-license,true
FlatStone Tech Custom License,tldr-title:FlatStone Tech Custom License,true
FlatStone Tech Custom License,flatstone-tech-custom-license,true
FlatStone Tech Custom License,tldr-slug:flatstone-tech-custom-license,true
OxGroup,tldr-slug:oxgroup,true
OxGroup,tldr-title:OxGroup,true
आधार कार्ड,tldr-title:आधार कार्ड,true
आधार कार्ड,आधार-कार्ड,true
आधार कार्ड,tldr-slug:आधार-कार्ड,true
arabam tamirde,tldr-title:arabam tamirde,true
arabam tamirde,arabam-tamirde,true
arabam tamirde,tldr-slug:arabam-tamirde,true
armel-cross-toolchain-base,tldr-slug:armel-cross-toolchain-base,true
armel-cross-toolchain-base,tldr-title:armel-cross-toolchain-base,true
4k Video Downloader EULA,tldr-title:4k Video Downloader EULA,true
4k Video Downloader EULA,4k-video-downloader,true
4k Video Downloader EULA,tldr-slug:4k-video-downloader,true
Anonym ,tldr-title:Anonym ,true
Anonym ,anonym-,true
Anonym ,tldr-slug:anonym-,true
wechat_public,tldr-slug:wechat_public,true
wechat_public,tldr-title:wechat_public,true
first license!,tldr-title:first license!,true
first license!,first-license!,true
first license!,tldr-slug:first-license!,true
slimdrivers,tldr-slug:slimdrivers,true
slimdrivers,tldr-title:slimdrivers,true
Yeni Lisans,tldr-title:Yeni Lisans,true
Yeni Lisans,yeni-lisans,true
Yeni Lisans,tldr-slug:yeni-lisans,true
kiruthiga,tldr-slug:kiruthiga,true
kiruthiga,tldr-title:kiruthiga,true
Space Engineers End User License Agreement,tldr-title:Space Engineers End User License Agreement,true
Space Engineers End User License Agreement,space-engineers-end-user-license-agreement,true
Space Engineers End User License Agreement,tldr-slug:space-engineers-end-user-license-agreement,true
Fair Source License 0.9 (Fair-Source-0.9),tldr-title:Fair Source License 0.9 (Fair-Source-0.9),true
Fair Source License 0.9 (Fair-Source-0.9),fair-source-license-0.9-(fair-source-0.9),true
Fair Source License 0.9 (Fair-Source-0.9),tldr-slug:fair-source-license-0.9-(fair-source-0.9),true
System with xfce platform apache and sql,tldr-title:System with xfce platform apache and sql,true
System with xfce platform apache and sql,system-with-xfce-platform-apache-and-sql,true
