Full Name,Short Name,FSF Free?,GPLv2 Compat?,GPLv3 Compat?,Upstream URL
Microsoft Public License,MS-PL,Yes,NO,NO,http://www.microsoft.com/opensource/licenses.mspx#Ms-PL
Microsoft Reciprocal License,MS-RL,Yes,NO,NO,http://www.microsoft.com/opensource/licenses.mspx#Ms-RL
midnight License,midnight,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/midnight
MirOS License,MirOS,Yes,Yes,Yes,http://mirbsd.de/MirOS-Licence
MIT license (also X11),MIT,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/MIT
MIT +no-false-attribs license,MITNFA,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/MITNFA
mod_macro License,mod_macro,Yes,NO,NO,http://www.cri.ensmp.fr/~coelho/mod_macro/mod_macro/LICENSE
Motosoto License,Motosoto,Yes,NO,NO,http://opensource.org/licenses/motosoto.php
Mozilla Public License v1.0,MPLv1.0,Yes,NO,NO,http://opensource.org/licenses/mozilla1.0.php
Mozilla Public License v1.1,MPLv1.1,Yes,"Compatible if dual licensed with GPL, otherwise Incompatible","Compatible if dual licensed with GPL, otherwise Incompatible",http://www.mozilla.org/MPL/MPL-1.1.html
Mozilla Public License v2.0,MPLv2.0,Yes,Sometimes,Sometimes,https://fedoraproject.org/wiki/Licensing/MPLv2.0
mpich2 License,MIT,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/MIT
Mup License,Mup,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Mup
MX4J License,ASL 1.1,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/MX4J
MySQL License,GPLv2 with exceptions,Yes,?,,http://www.mysql.com/company/legal/licensing/foss-exception.html
Naumen Public License,Naumen,Yes,Yes,Yes,http://opensource.org/licenses/naumen.php
NCSA/University of Illinois Open Source License,NCSA,Yes,Yes,Yes,https://otm.illinois.edu/disclose-protect/illinois-open-source-license
Neotonic Clearsilver License,ASL 1.1,Yes,NO,NO,http://www.clearsilver.net/license.hdf
NetCDF license,NetCDF,Yes,Yes,Yes,http://www.unidata.ucar.edu/software/netcdf/copyright.html
Nethack General Public License,NGPL,Yes,NO,,http://opensource.org/licenses/nethack.php
Netizen Open Source License,NOSL,Yes,NO,,http://bits.netizen.com.au/licenses/NOSL/nosl.txt
Netscape Public License,Netscape,Yes,NO,NO,http://www.mozilla.org/NPL/NPL-1.0.html
Newmat License,Newmat,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Newmat_License
Newsletr License,Newsletr,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Newsletr
NIST Software License,NISTSL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/NISTSL
Nmap License,Nmap,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Nmap
Nokia Open Source License,Nokia,Yes,NO,,http://opensource.org/licenses/nokia.html
No Limit Public License,NLPL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/NLPL
Noweb License,Noweb,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Noweb
NRL License,BSD with advertising,Yes,NO,,http://web.mit.edu/network/isakmp/nrllicense.html
Nunit License,MIT with advertising,Yes,NO,,https://fedoraproject.org/wiki/Licensing/Nunit
Open Government License,OGL,Yes,,,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
OpenLDAP License,OpenLDAP,Yes,Yes,Yes,http://www.openldap.org/software/release/license.html
Open Market License,OML,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Open_Market_License
OpenPBS License,OpenPBS,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/OpenPBS
Open Software License 1.0,OSL 1.0,Yes,NO,NO,http://www.opensource.org/licenses/osl-1.0.txt
Open Software License 1.1,OSL 1.1,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/OSL1.1
Open Software License 2.0,OSL 2.0,Yes,NO,NO,http://www.nexb.com/license/LICENSE-OSL-2.0.html
Open Software License 2.1,OSL 2.1,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/OSL2.1
Open Software License 3.0,OSL 3.0,Yes,NO,NO,http://opensource.org/licenses/osl-3.0.php
OpenSSL License,OpenSSL,Yes,NO,NO,http://www.sdisw.com/openssl.htm
OReilly License,OReilly,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/OReilly
Par License,Par,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Par
Perl License,GPL+ or Artistic,Yes,Yes,Yes,http://dev.perl.org/licenses/
Perl License (variant),GPLv2 or Artistic,Yes,Yes,NO,"Some perl packages explicitly state GPLv2, only use this license for those cases"
Perl License (variant),GPLv2+ or Artistic,Yes,Yes,Yes,"Some perl packages explicitly state GPLv2+, only use this license for those cases"
Perl License (variant),LGPLv2+ or Artistic,Yes,Yes,Yes,"Some perl packages explicitly state LGPLv2+ (extremely uncommon), only use this license for those cases"
Phorum License,Phorum,Yes,NO,,http://phorum.org/license.txt
PHP License v3.0,PHP,Yes,NO,NO,http://www.php.net/license/3_01.txt
PlainTeX License,PlainTeX,"Yes (only on TeX, see license page)",NO,NO,https://fedoraproject.org/wiki/Licensing/PlainTeX
Plexus Classworlds License,Plexus,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Plexus_Classworlds_License
PostgreSQL License,PostgreSQL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/PostgreSQL_License
psfrag License,psfrag,Yes (but only for tex),NO,NO,https://fedoraproject.org/wiki/Licensing/psfrag
psutils License,psutils,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/psutils
Public Domain,Public Domain,Yes,Yes,Yes,"Being in the public domain is not a license; rather, it means the material is not copyrighted and no license is needed."
Python License,Python,Yes,Yes,Yes,https://docs.python.org/2/license.html
Qhull License,Qhull,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Qhull
Q Public License,QPL,Yes,NO,NO,http://doc.qt.digia.com/3.0/license.html
Qwt License 1.0,LGPLv2+ with exceptions,Yes,Yes,Yes,http://qwt.sourceforge.net/qwtlicense.html
QuickFix License,ASL 1.1,Yes,NO,NO,http://www.quickfixengine.org/quickfix/doc/html/license.html
radvd License,radvd,Yes,See Notes,See Notes,https://fedoraproject.org/wiki/Licensing/radvd_License
Rdisc License,Rdisc,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Rdisc_License
RealNetworks Public Source License V1.0,RPSL,Yes,NO,,http://www.opensource.org/licenses/real.php
REX License,REX,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/REX
Rice BSD,RiceBSD,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Rice_BSD_License
Romio License,Romio,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Romio_License
RSA License,RSA,Yes,?,?,https://fedoraproject.org/wiki/Licensing/RSA
Rsfs License,Rsfs,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Rsfs
Ruby License,Ruby,Yes,"Compatible if dual licensed with GPL, otherwise Incompatible",,http://www.ruby-lang.org/en/LICENSE.txt
Saxpath License,Saxpath,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/Saxpath_License
Sequence Library License,Sequence,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/SequenceLibraryLicense
SCEA Shared Source License,SCEA,Yes,NO,NO,http://research.scea.com/scea_shared_source_license.html
Scheme Widget Library (SWL) Software License Agreement,SWL,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/SWL
SciTech MGL Public License,STMPL,Yes,NO,NO,https://fedoraproject.org/wiki/Licensing/STMPL
SCRIP License,SCRIP,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/SCRIP
Sendmail License,Sendmail,Yes,"Compatible if Eric Allman, Sendmail Inc. or the University of California is the copyright holder","Compatible if Eric Allman, Sendmail Inc. or the University of California is the copyright holder",http://www.sendmail.com/pdfs/open_source/sendmail_license.pdf
SGI Free Software License B 2.0,MIT,Yes,Yes,Yes,http://oss.sgi.com/projects/FreeB/SGIFreeSWLicB.2.0.pdf
Sleepycat Software Product License,Sleepycat,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/Sleepycat
SLIB License,SLIB,Yes,Yes,Yes,http://www-swiss.ai.mit.edu/~jaffer/SLIB_COPYING.txt
softSurfer License,softSurfer,Yes,Yes,Yes,https://fedoraproject.org/wiki/Licensing/softSurfer
